id,img,name,dsc,price
the-gramercy-tavern-burger-4-pack,./img/cardapio/acessorios/CUBA ULTRASONICA WOTOFO.jpg,CUBA ULTRASONICA WOTOFO,CUBA ULTRASONICA WOTOFO,225
the-gramercy-tavern-burger-4-pack1,./img/cardapio/acessorios/kit coil master V2.webp,kit coil master V2,kit coil master V2,145
the-gramercy-tavern-burger-4-pack2,./img/cardapio/acessorios/CUBA ULTRASONICA WOTOFO.jpg,Rba origen x,Rba origen x,65
the-gramercy-tavern-burger-4-pack3,./img/cardapio/acessorios/Rba origin x Tank.jpg,Rba origen x e adaptador ,Rba origen x e adaptador ,105
the-gramercy-tavern-burger-4-pack4,./img/cardapio/acessorios/Vidro dead Rabbit v3 e M.webp,Vidro dead Rabbit v3 e M ,Vidro dead Rabbit v3 e M ,40
the-gramercy-tavern-burger-4-pack5,"./img/cardapio/acessorios/Vidro Gen s , sky solo plus.webp","Vidro Gen s , sky solo plus","Vidro Gen s , sky solo plus",35
the-gramercy-tavern-burger-4-pack6,./img/cardapio/acessorios/VIDRO GTI TANK.jpg,VIDRO GTI TANK,VIDRO GTI TANK,45
the-gramercy-tavern-burger-4-pack7,./img/cardapio/acessorios/Kit ferramentas coil master mini.webp,Kit ferramentas coil master mini,Kit ferramentas coil master mini,175
the-gramercy-tavern-burger-4-pack8,./img/cardapio/acessorios/Alicate de corte vape plus.jpg,Alicate de corte vape plus,Alicate de corte vape plus,40
the-gramercy-tavern-burger-4-pack9,./img/cardapio/acessorios/Pinça auxiliadora cerâmica2.webp,Pinça auxiliadora cerâmica ,Pinça auxiliadora cerâmica ,40
the-gramercy-tavern-burger-4-pack10,./img/cardapio/acessorios/Estojo wotofo para transporte.webp,Estojo wotofo para transporte,Estojo wotofo para transporte,60
the-gramercy-tavern-burger-4-pack11,./img/cardapio/acessorios/Pinça auxiliadora cerâmica.webp,Pinça de cerâmica,Pinça de cerâmica,40
the-gramercy-tavern-burger-4-pack12,./img/cardapio/acessorios/Pinça aço curva.jpg,Pinça aço curva,Pinça aço curva,35
the-gramercy-tavern-burger-4-pack13,./img/cardapio/acessorios/Case para 2 bateria 18650.webp,Case para 2 bateria 18650,Case para 2 bateria 18650,10
the-gramercy-tavern-burger-4-pack14,./img/cardapio/acessorios/ALGODÃO BPMODS 3.0 e 2.5MM.webp,ALGODÃO BPMODS 3.0 e 2.5MM ,ALGODÃO BPMODS 3.0 e 2.5MM ,50
the-gramercy-tavern-burger-4-pack15,./img/cardapio/acessorios/COTTON BACON BITS.jpg,COTTON BACON BITS ,COTTON BACON BITS ,12
the-gramercy-tavern-burger-4-pack16,./img/cardapio/acessorios/COTTON WOTOFO 5MM.webp,COTTON WOTOFO 5MM ,COTTON WOTOFO 5MM ,60
the-gramercy-tavern-burger-4-pack17,./img/cardapio/acessorios/COIL SMOK TFV16 DUAL MESH CX COM 3.jpg,COIL SMOK TFV16 DUAL MESH CX COM 3,COIL SMOK TFV16 DUAL MESH CX COM 3,85
the-gramercy-tavern-burger-4-pack18,./img/cardapio/acessorios/COIL PEN 22 MESH CX C5.jpg,COIL PEN 22 MESH CX C/5,COIL PEN 22 MESH CX C/5,90
the-gramercy-tavern-burger-4-pack19,./img/cardapio/acessorios/Coil drag 3 tpp dm3 cx com 3 .jpg,Coil drag 3 tpp dm3 cx com 3 ,Coil drag 3 tpp dm3 cx com 3 ,90
the-gramercy-tavern-burger-4-pack20,./img/cardapio/acessorios/Coil pnp 0.2 ohms unidade.webp,Coil pnp 0.2 ohms unidade,Coil pnp 0.2 ohms unidade,30
the-gramercy-tavern-burger-4-pack21,"./img/cardapio/acessorios/Cartucho G2 , gk2.png","Cartucho G2 , gk2  ","Cartucho G2 , gk2  ",35
the-gramercy-tavern-burger-4-pack22,./img/cardapio/acessorios/Cartucho koko prime.webp,Cartucho koko prime ,Cartucho koko prime ,35
the-gramercy-tavern-burger-4-pack23,./img/cardapio/acessorios/Coil 1.0 koko prime G gk2.jpg,Coil 1.0 koko prime G gk2,Coil koko prime G/gk2  1.0 e 1.2 unidade,35
