id,img,name,dsc,price
the-gramercy-tavern-burger-4-pack58,./img/cardapio/coil/Staple staggered fused Clapton o par.webp,Staple staggered fused Clapton o par,Staple staggered fused Clapton o par,35
the-gramercy-tavern-burger-4-pack59,./img/cardapio/coil/Fused Clapton Quadcore.jpg,Fused Clapton Quadcore,Fused Clapton Quadcore,35
the-gramercy-tavern-burger-4-pack60,./img/cardapio/coil/Fralien o par.jpg,Fralien o par,Fralien o par,30
the-gramercy-tavern-burger-4-pack61,./img/cardapio/coil/Tricore o par.jpg,Tricore o par,Tricore o par,25
the-gramercy-tavern-burger-4-pack62,./img/cardapio/coil/Fused.jpg,Fused o par,Fused o par,40
the-gramercy-tavern-burger-4-pack63,./img/cardapio/coil/Alien mtl o par.jpg,Alien mtl o par,Alien mtl o par,35
the-gramercy-tavern-burger-4-pack64,./img/cardapio/coil/mtl fused clapton.jpg,Fused mtl o par,Fused mtl o par,20
the-gramercy-tavern-burger-4-pack65,./img/cardapio/coil/Clapton mesh profile m.jpg,Clapton mesh profile m com 5uni,Clapton mesh profile m com 5uni,60
the-gramercy-tavern-burger-4-pack66,./img/cardapio/coil/Clapton mesh kylin pró.jpg, kylin pró, kylin pró,60
the-gramercy-tavern-burger-4-pack67,./img/cardapio/coil/Clapton mesh dead Rabbit m.jpg,Rabbit m,Rabbit m,60
the-gramercy-tavern-burger-4-pack68,./img/cardapio/coil/Wrap 21700 e 18650.jpg,Wrap 21700 e 18650,Wrap 21700 e 18650,4
