id,img,name,dsc,price
17481-jewish-dessert-3-pack1,./img/cardapio/descartaveis/AVOCADO NANA OXBAR G8000 AVOCADO NANA.webp,AVOCADO NANA OXBAR G8000,AVOCADO NANA,90
17481-jewish-dessert-3-pack2,./img/cardapio/descartaveis/BANANA ICE OXBAR G8000 BANANA ICE.png,BANANA ICE OXBAR G8000,BANANA ICE,90
17481-jewish-dessert-3-pack3,./img/cardapio/descartaveis/CLEAR OXBAR G8000 CLEAR.png,CLEAR OXBAR G8000,CLEAR,90
17481-jewish-dessert-3-pack4,./img/cardapio/descartaveis/CRANBERRY GRAPE OXBAR G8000 CRANBERRY GRAPE.webp,CRANBERRY GRAPE OXBAR G8000,CRANBERRY GRAPE,90
17481-jewish-dessert-3-pack5,./img/cardapio/descartaveis/CRANBERRY LEMON ICE OXBAR G8000 CRANBERRY LEMON ICE.webp,CRANBERRY LEMON ICE OXBAR G8000,CRANBERRY LEMON ICE,90
17481-jewish-dessert-3-pack6,./img/cardapio/descartaveis/FRUIT PARADISE OXBAR G8000 FRUIT PARADISE.webp,FRUIT PARADISE OXBAR G8000,FRUIT PARADISE,90
17481-jewish-dessert-3-pack7,./img/cardapio/descartaveis/KIWI PASSION KICK OXBAR G8000 KIWI PASSION KICK.jpg,KIWI PASSION KICK OXBAR G8000,KIWI PASSION KICK,90
17481-jewish-dessert-3-pack8,./img/cardapio/descartaveis/LEMON MINT OXBAR G8000 LEMON MINT.webp,LEMON MINT OXBAR G8000,LEMON MINT,90
17481-jewish-dessert-3-pack9,./img/cardapio/descartaveis/MAD BLUE OXBAR G8000 MAD BLUE.webp,MAD BLUE OXBAR G8000,MAD BLUE,90
17481-jewish-dessert-3-pack10,./img/cardapio/descartaveis/MANGO PEACH OXBAR G8000 MANGO PEACH.png,MANGO PEACH OXBAR G8000,MANGO PEACH,90
17481-jewish-dessert-3-pack11,./img/cardapio/descartaveis/RAINBOW DROP OXBAR G8000 RAINBOW DROP.webp,RAINBOW DROP OXBAR G8000,RAINBOW DROP,90
17481-jewish-dessert-3-pack12,./img/cardapio/descartaveis/SAKURA GRAPE OXBAR G8000 SAKURA GRAPE.webp,SAKURA GRAPE OXBAR G8000,SAKURA GRAPE,90
17481-jewish-dessert-3-pack13,./img/cardapio/descartaveis/SEA SALT LEMON OXBAR G8000 SEA SALT LEMON.webp,SEA SALT LEMON OXBAR G8000,SEA SALT LEMON,90
